                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.917,                 1.7707,                 1.3657,                0.45313,                0.72168,                0.66062,                0.33156,                 1.7059,                 5.5335,                 1.1959,                 0.0004,                 0.0004,                 0.0004
                      2,                 1.6357,                  1.098,                 1.2255,                0.46514,                0.74757,                0.69191,                 0.3287,                 1.6124,                 5.4433,                 1.1841,             0.00078753,             0.00078753,             0.00078753
                      3,                  1.638,                 1.1126,                 1.2142,                0.64655,                0.58576,                0.64105,                0.30351,                 1.6092,                 2.9855,                 1.3046,              0.0011418,              0.0011418,              0.0011418
                      4,                 1.6526,                 1.1385,                 1.2392,                0.59566,                0.53396,                0.47169,                0.21419,                 1.8834,                 3.3136,                 1.4715,              0.0014628,              0.0014628,              0.0014628
                      5,                 1.6807,                 1.1337,                 1.2694,                0.58704,                0.57605,                0.52128,                0.24097,                 1.8822,                 1.8198,                 1.4876,              0.0016832,              0.0016832,              0.0016832
                      6,                 1.6509,                 1.0879,                 1.2511,                0.67666,                0.61489,                0.66514,                 0.3324,                   1.78,                  1.817,                 1.3897,               0.001604,               0.001604,               0.001604
                      7,                 1.6862,                 1.1075,                 1.2718,                0.70228,                0.62136,                0.68839,                0.34552,                 1.6372,                  1.462,                 1.3117,              0.0015248,              0.0015248,              0.0015248
                      8,                 1.6159,                 1.0847,                 1.2426,                0.65223,                0.61812,                0.66103,                0.33325,                 1.7071,                 1.4954,                 1.3387,              0.0014456,              0.0014456,              0.0014456
                      9,                 1.5923,                 1.0654,                 1.1996,                0.79739,                0.66667,                 0.7295,                0.37259,                 1.6595,                 1.2549,                 1.3006,              0.0013664,              0.0013664,              0.0013664
                     10,                 1.6237,                 1.0775,                 1.2458,                0.68182,                0.62136,                 0.6743,                0.32924,                 1.7881,                 1.2831,                 1.3512,              0.0012872,              0.0012872,              0.0012872
                     11,                 1.5819,                 1.0352,                 1.2146,                0.79748,                0.64991,                0.69853,                0.36611,                 1.6166,                 1.1913,                 1.3009,               0.001208,               0.001208,               0.001208
                     12,                 1.5264,                  1.019,                 1.1917,                0.74148,                0.66343,                0.74444,                0.39468,                 1.5695,                 1.0915,                 1.2389,              0.0011288,              0.0011288,              0.0011288
                     13,                 1.4708,                0.96615,                 1.1684,                0.78914,                0.62979,                0.72645,                0.41349,                 1.5603,                 1.0567,                 1.2382,              0.0010496,              0.0010496,              0.0010496
                     14,                 1.4502,                0.95611,                 1.1758,                0.73222,                 0.6699,                 0.7125,                0.38468,                 1.6383,                 1.0741,                 1.2951,              0.0009704,              0.0009704,              0.0009704
                     15,                  1.454,                0.96908,                  1.193,                0.79435,                0.66667,                0.73307,                0.39089,                 1.5998,                 1.0423,                  1.268,              0.0008912,              0.0008912,              0.0008912
                     16,                 1.3823,                 1.0163,                 1.1482,                0.80694,                0.62136,                0.75926,                0.42667,                 1.5357,                 1.0661,                 1.2086,               0.000812,               0.000812,               0.000812
                     17,                 1.3137,                0.90487,                 1.1346,                0.85358,                0.71692,                0.79281,                0.45035,                 1.4662,                 1.0489,                 1.2219,              0.0007328,              0.0007328,              0.0007328
                     18,                 1.2915,                0.89934,                 1.1123,                0.83909,                0.67961,                0.77448,                0.44254,                 1.5147,                0.97219,                 1.2539,              0.0006536,              0.0006536,              0.0006536
                     19,                 1.3236,                0.89326,                 1.1169,                0.84455,                0.71845,                0.79679,                0.44864,                 1.4882,                0.99269,                 1.2454,              0.0005744,              0.0005744,              0.0005744
                     20,                 1.2329,                 0.8031,                 1.0871,                0.81759,                0.68932,                 0.7821,                0.45237,                 1.4355,                0.93717,                 1.2059,              0.0004952,              0.0004952,              0.0004952
                     21,                 1.2128,                0.79277,                 1.0776,                0.82787,                0.69256,                0.78156,                0.45832,                 1.4711,                0.91795,                 1.2325,               0.000416,               0.000416,               0.000416
                     22,                 1.1829,                0.78396,                 1.0623,                0.85628,                0.67484,                 0.7845,                0.44818,                 1.4862,                0.93288,                 1.2253,              0.0003368,              0.0003368,              0.0003368
                     23,                 1.2072,                0.78102,                 1.0679,                0.83691,                0.67638,                0.78111,                0.45183,                 1.4534,                0.92015,                 1.2279,              0.0002576,              0.0002576,              0.0002576
                     24,                 1.1546,                0.75478,                 1.0541,                0.87709,                0.69282,                0.79948,                0.46377,                 1.4216,                0.91608,                 1.2096,              0.0001784,              0.0001784,              0.0001784
                     25,                 1.1409,                0.76333,                 1.0425,                0.87723,                0.71682,                0.80515,                 0.4725,                  1.394,                0.90227,                 1.1951,               9.92e-05,               9.92e-05,               9.92e-05
